Player,Pos,Age,Tm,No.,Ht,Div,Conf
329,Jamal Murray,PG,25,DEN,27.0,6.25,NW,West
330,Keegan Murray,SF,22,SAC,13.0,6.666666666666667,Pac.,West
331,Mike Muscala,C,31,OKC,33.0,6.833333333333333,NW,West
332,Svi Mykhailiuk,SF,25,NYK,17.0,6.583333333333333,Atl.,East
333,Larry Nance Jr.,PF,30,NOP,22.0,6.583333333333333,SW,West
334,Andrew Nembhard,SG,23,IND,2.0,6.416666666666667,Cen.,East
335,Aaron Nesmith,SF,23,IND,23.0,6.416666666666667,Cen.,East
336,Raul Neto,PG,30,CLE,19.0,6.083333333333333,Cen.,East
337,Georges Niang,PF,29,PHI,20.0,6.583333333333333,Atl.,East
338,Daishen Nix,PG,20,HOU,15.0,6.416666666666667,SW,West
339,Zeke Nnaji,PF,22,DEN,22.0,6.75,NW,West
340,Nerlens Noel,C,28,DET,9.0,6.916666666666667,Cen.,East
341,Jaylen Nowell,SG,23,MIN,4.0,6.333333333333333,NW,West
342,Frank Ntilikina,PG,24,DAL,21.0,6.333333333333333,SW,West
343,Kendrick Nunn,SG,27,LAL,12.0,6.166666666666667,Pac.,West
344,Jusuf Nurkić,C,28,POR,27.0,6.916666666666667,NW,West
345,Jordan Nwora,SF,24,MIL,13.0,6.666666666666667,Cen.,East
346,Royce O'Neale,SF,29,BRK,0.0,6.333333333333333,Atl.,East
347,Chuma Okeke,SF,24,ORL,3.0,6.5,SE,East
348,Josh Okogie,SG,24,PHO,2.0,6.333333333333333,Pac.,West
349,Onyeka Okongwu,C,22,ATL,17.0,6.666666666666667,SE,East
350,Isaac Okoro,SF,22,CLE,35.0,6.416666666666667,Cen.,East
351,KZ Okpala,PF,23,SAC,30.0,6.666666666666667,Pac.,West
352,Victor Oladipo,SG,30,MIA,4.0,6.333333333333333,SE,East
353,Kelly Olynyk,C,31,UTA,41.0,6.916666666666667,NW,West
355,Cedi Osman,SF,27,CLE,16.0,6.583333333333333,Cen.,East
356,Kelly Oubre Jr.,SF,27,CHO,12.0,6.583333333333333,SE,East
357,Chris Paul,PG,37,PHO,3.0,6.0,Pac.,West
358,Cameron Payne,PG,28,PHO,15.0,6.083333333333333,Pac.,West
359,Gary Payton II,PG,30,POR,0.0,6.25,NW,West
360,Theo Pinson,SG,27,DAL,1.0,6.416666666666667,SW,West
362,Mason Plumlee,C,32,CHO,24.0,6.916666666666667,SE,East
363,Jakob Poeltl,C,27,SAS,25.0,7.083333333333333,SW,West
364,Aleksej Pokusevski,PF,21,OKC,17.0,7.0,NW,West
365,Jordan Poole,PG,23,GSW,3.0,6.333333333333333,Pac.,West
366,Kevin Porter Jr.,PG,22,HOU,3.0,6.333333333333333,SW,West
367,Michael Porter Jr.,SF,24,DEN,1.0,6.833333333333333,NW,West
368,Otto Porter Jr.,SF,29,TOR,32.0,6.666666666666667,Atl.,East
369,Bobby Portis,PF,27,MIL,9.0,6.833333333333333,Cen.,East
370,Kristaps Porziņģis,C,27,WAS,6.0,7.25,SE,East
372,Dwight Powell,C,31,DAL,7.0,6.833333333333333,SW,West
373,Norman Powell,SG,29,LAC,24.0,6.25,Pac.,West
374,Jason Preston,PG,23,LAC,0.0,6.333333333333333,Pac.,West
376,Taurean Prince,SF,28,MIN,12.0,6.583333333333333,NW,West
377,Payton Pritchard,PG,25,BOS,11.0,6.083333333333333,Atl.,East
380,Immanuel Quickley,PG,23,NYK,5.0,6.25,Atl.,East
381,Julius Randle,PF,28,NYK,30.0,6.666666666666667,Atl.,East
382,Austin Reaves,SG,24,LAL,15.0,6.416666666666667,Pac.,West
383,Cam Reddish,SF,23,NYK,0.0,6.666666666666667,Atl.,East
384,Davon Reed,SG,27,DEN,9.0,6.416666666666667,NW,West
385,Paul Reed,C,23,PHI,44.0,6.75,Atl.,East
386,Naz Reid,C,23,MIN,11.0,6.75,NW,West
388,Nick Richards,C,25,CHO,4.0,7.0,SE,East
389,Josh Richardson,SG,29,SAS,7.0,6.416666666666667,SW,West
390,Austin Rivers,SG,30,MIN,25.0,6.333333333333333,NW,West
391,Duncan Robinson,SF,28,MIA,55.0,6.583333333333333,SE,East
392,Mitchell Robinson,C,24,NYK,23.0,7.0,Atl.,East
394,Jeremiah Robinson-Earl,PF,22,OKC,50.0,6.75,NW,West
395,Isaiah Roby,PF,24,SAS,18.0,6.666666666666667,SW,West
396,David Roddy,PF,21,MEM,27.0,6.5,SW,West
397,Ryan Rollins,PG,20,GSW,2.0,6.333333333333333,Pac.,West
398,Derrick Rose,PG,34,NYK,4.0,6.25,Atl.,East
399,Terrence Ross,SG,31,ORL,31.0,6.5,SE,East
400,Terry Rozier,SG,28,CHO,3.0,6.083333333333333,SE,East
401,Ricky Rubio,PG,32,CLE,13.0,6.166666666666667,Cen.,East
402,D'Angelo Russell,PG,26,MIN,0.0,6.333333333333333,NW,West
406,Domantas Sabonis,C,26,SAC,10.0,6.916666666666667,Pac.,West
407,Dario Šarić,PF,28,PHO,20.0,6.833333333333333,Pac.,West
410,Dennis Schröder,PG,29,LAL,17.0,6.25,Pac.,West
412,Alperen Şengün,C,20,HOU,28.0,6.75,SW,West
413,Collin Sexton,SG,24,UTA,2.0,6.083333333333333,NW,West
414,Landry Shamet,SG,25,PHO,14.0,6.333333333333333,Pac.,West
415,Day'Ron Sharpe,C,21,BRK,20.0,6.916666666666667,Atl.,East
416,Shaedon Sharpe,SG,19,POR,17.0,6.5,NW,West
417,Pascal Siakam,C,28,TOR,43.0,6.75,Atl.,East
418,Ben Simmons,PG,26,BRK,10.0,6.833333333333333,Atl.,East
419,Marko Simonovic,C,23,CHI,19.0,6.916666666666667,Cen.,East
420,Anfernee Simons,SG,23,POR,1.0,6.25,NW,West
421,Jericho Sims,C,24,NYK,45.0,6.833333333333333,Atl.,East
422,Marcus Smart,PG,28,BOS,36.0,6.25,Atl.,East
423,Dennis Smith Jr.,PG,25,CHO,8.0,6.166666666666667,SE,East
425,Ish Smith,PG,34,DEN,14.0,6.0,NW,West
426,Jabari Smith Jr.,PF,19,HOU,1.0,6.833333333333333,SW,West
427,Jalen Smith,PF,22,IND,25.0,6.833333333333333,Cen.,East
428,Jeremy Sochan,PF,19,SAS,10.0,6.75,SW,West
429,Jaden Springer,SG,20,PHI,11.0,6.333333333333333,Atl.,East
430,Lamar Stevens,PF,25,CLE,8.0,6.5,Cen.,East
431,Isaiah Stewart,C,21,DET,28.0,6.666666666666667,Cen.,East
432,Max Strus,SF,26,MIA,31.0,6.416666666666667,SE,East
433,Jalen Suggs,PG,21,ORL,4.0,6.333333333333333,SE,East
434,Edmond Sumner,SG,27,BRK,4.0,6.333333333333333,Atl.,East
436,Jae'Sean Tate,SF,27,HOU,8.0,6.333333333333333,SW,West
437,Jayson Tatum,PF,24,BOS,0.0,6.666666666666667,Atl.,East
438,Terry Taylor,SG,23,IND,21.0,6.416666666666667,Cen.,East
439,Garrett Temple,SG,36,NOP,41.0,6.416666666666667,SW,West
440,Dalen Terry,SG,20,CHI,25.0,6.583333333333333,Cen.,East
441,Cam Thomas,SG,21,BRK,24.0,6.333333333333333,Atl.,East
442,Klay Thompson,SG,32,GSW,11.0,6.5,Pac.,West
443,JT Thor,PF,20,CHO,21.0,6.833333333333333,SE,East
444,Matisse Thybulle,SG,25,PHI,22.0,6.416666666666667,Atl.,East
